Sample	pairs_processed	r1_with_adapters	r2_with_adapters	pairs_too_short	pairs_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
F6_MOCK_1_MP180.R2	21364127	10701344	10739578	43563	21320564	6451966354	22072	5812609866	9.909482674279921
F6_MOCK_2_MP180.R2	28755347	13350864	13413216	55850	28699497	8684114794	22810	7909781046	8.916668726385332
F6_MOCK_3_MP180.R2	21369965	9840853	9886467	37742	21332223	6453729430	22742	5871590195	9.020198961145478
F6_MOCK_4_MP180.R2	23229202	10964582	11022107	57559	23171643	7015219004	22843	6359937714	9.340852931695588
F6_RAS_1_MP180.R2	22311810	10506234	10559079	44879	22266931	6738166620	21221	6119361434	9.183583916777648
F6_RAS_2_MP180.R2	23682375	11662898	11716443	56812	23625563	7152077250	23198	6430880862	10.083733197932112
F6_RAS_3_MP180.R2	24760887	11575588	11625013	49289	24711598	7477787874	23824	6785293188	9.260689092395616
F6_RAS_4_MP180.R2	24313136	11377444	11443079	51292	24261844	7342567072	25230	6663549890	9.247681026835297
F9_MOCK_1_MP180.R2	28141118	13730491	13804868	69284	28071834	8498617636	26995	7668396205	9.768899679439585
F9_MOCK_1_MP192.R2	22459984	10940733	10994535	49415	22410569	6782915168	22664	6117541631	9.809551210946237
F9_MOCK_2_MP180.R2	21195875	10135393	10187196	48923	21146952	6401154250	22618	5798796223	9.410147037153495
F9_MOCK_2_MP192.R2	21168728	10181113	10220425	42476	21126252	6392955856	20706	5771372614	9.722939685507505
F9_MOCK_3_MP180.R2	24154365	11531488	11591516	53312	24101053	7294618230	24930	6614676650	9.321140031751876
F9_MOCK_3_MP192.R2	24157116	11342418	11408231	61262	24095854	7295449032	25181	6623595578	9.209213182808238
F9_MOCK_4_MP180.R2	26409590	12843367	12892929	51060	26358530	7975696180	24882	7211622888	9.580020035316842
F9_MOCK_4_MP192.R2	19463213	7182194	7254855	46347	19416866	5877890326	20600	5491540010	6.572941898746139
F9_RAS_1_MP180.R2	20948430	9933585	9975579	41520	20906910	6326425860	21692	5739795194	9.272702770597235
F9_RAS_1_MP192.R2	21932496	10573160	10617403	35726	21896770	6623613792	22109	5995259008	9.486585476329052
F9_RAS_2_MP180.R2	30691328	15003759	15059863	61459	30629869	9268781056	31315	8357825540	9.828212690495125
F9_RAS_2_MP192.R2	26478875	13033041	13098259	61505	26417370	7996620250	25315	7207761898	9.864897010708992
F9_RAS_3_MP180.R2	26225466	12620164	12684838	58597	26166869	7920090732	24027	7160371773	9.592301208500853
F9_RAS_3_MP192.R2	21259150	9993159	10044164	36143	21223007	6420263300	18848	5835845814	9.102702781675637
F9_RAS_4_MP180.R2	21067455	7855265	7951807	55576	21011879	6362371410	20713	5928836098	6.814052246597782
F9_RAS_4_MP192.R2	24708334	11679846	11726222	41277	24667057	7461916868	26193	6771416183	9.253663598976456
WT_MOCK_1_MP180.R2	26711385	14089111	14126522	50473	26660912	8066838270	25355	7202643602	10.712929143675519
WT_MOCK_1_MP192.R2	21852569	10806360	10848341	45386	21807183	6599475838	22870	5956951108	9.735996399900753
WT_MOCK_2_MP180.R2	25220336	13465374	13498596	46547	25173789	7616541472	24446	6793729252	10.802963825836567
WT_MOCK_2_MP192.R2	24266145	12322291	12363305	45525	24220620	7328375790	25230	6573501031	10.300710288766455
WT_MOCK_3_MP180.R2	24824714	12626287	12676831	48783	24775931	7497063628	22905	6740078054	10.097094163277655
WT_MOCK_3_MP192.R2	24040246	12227253	12288532	55582	23984664	7260154292	23235	6506280107	10.383721263757407
WT_MOCK_4_MP180.R2	26481863	13149784	13195652	46325	26435538	7997522626	25221	7205222628	9.906817836616396
WT_MOCK_4_MP192.R2	20531678	9700222	9756604	42661	20489017	6200566756	21688	5621295592	9.342229296047272
WT_RAS_1_MP180.R2	21824397	10569295	10617454	42566	21781831	6590967894	22364	5956374805	9.62822303500664
WT_RAS_1_MP192.R2	17680977	6886277	6938780	32047	17648930	5339655054	18389	4964649406	7.023031342054178
WT_RAS_2_MP180.R2	24250374	11982597	12031350	47742	24202632	7323612948	25645	6596285536	9.931265034952801
WT_RAS_2_MP192.R2	22541939	10795260	10848350	50506	22491433	6807665578	22235	6155333526	9.582316353907125
WT_RAS_3_MP180.R2	21570250	10232685	10282431	41435	21528815	6514215500	22902	5906761856	9.325046799572412
WT_RAS_3_MP192.R2	19904139	9718535	9760962	36300	19867839	6011049978	21571	5431265406	9.645312784321687
WT_RAS_4_MP180.R2	27574264	13195778	13251286	52311	27521953	8327427728	25576	7535677383	9.507742016635367
WT_RAS_4_MP192.R2	25999913	12205491	12274133	57359	25942554	7851973726	23310	7126029690	9.245370162105914
