Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP	PF_NOT_ALIGNED_BASES
F6_MOCK_1_MP180.p2	5812609866.0	5722689832.0	3790987.0	3982635531.0	1317006896.0	160603900.0	258652518.0	0.0	37422789.0	61116.0	27944.0	18588653.0	130572.0	0.15009999999999998	99.8499	0.06620000000000001	69.59379999999999	23.0138	2.8064	4.5198	92.6075	91.17490000000001	99.837	0.519318	0.290069	0.147498	1.755834				89920034.0
F6_MOCK_2_MP180.p2	7909781046.0	7784354036.0	5547671.0	5424295375.0	1791327663.0	213482557.0	349700770.0	0.0	50417761.0	81971.0	37165.0	25039644.0	179436.0	0.1482	99.8518	0.0713	69.682	23.0119	2.7425	4.4924	92.6939	91.22409999999999	99.8377	0.513256	0.29981	0.139523	1.940572				125427010.0
F6_MOCK_3_MP180.p2	5871590195.0	5793163529.0	3793697.0	3919012255.0	1412534138.0	176364409.0	281459030.0	0.0	37301711.0	60700.0	27679.0	18538538.0	117697.0	0.14909999999999998	99.8509	0.0655	67.6489	24.3828	3.0444	4.8585	92.0317	90.8024	99.8375	0.515368	0.245693	0.153731	1.508968				78426666.0
F6_MOCK_4_MP180.p2	6359937714.0	6249029878.0	3846341.0	4244442754.0	1491829482.0	207800161.0	301111140.0	0.0	40259095.0	67193.0	30531.0	20001588.0	136937.0	0.1524	99.8476	0.0616	67.9216	23.873	3.3253	4.8185	91.7946	90.1938	99.83340000000001	0.513046	0.25773	0.154445	1.615064				110907836.0
F6_RAS_1_MP180.p2	6119361434.0	5992575873.0	4022992.0	4028998012.0	1443807618.0	210716106.0	305031145.0	0.0	38345181.0	79497.0	36608.0	19060918.0	119577.0	0.1917	99.8083	0.0671	67.23320000000001	24.0933	3.5163	5.0902	91.32639999999999	89.4343	99.7931	0.525242	0.270159	0.143928	1.619655				126785561.0
F6_RAS_2_MP180.p2	6430880862.0	6300443708.0	3977542.0	4247703867.0	1530187949.0	207424829.0	311149521.0	0.0	40825743.0	98489.0	45850.0	20292319.0	130433.0	0.2254	99.7746	0.0631	67.4191	24.287	3.2922	4.9384999999999994	91.7061	89.846	99.7593	0.527404	0.269902	0.147558	1.658486				130437154.0
F6_RAS_3_MP180.p2	6785293188.0	6644266355.0	4115309.0	4438007606.0	1612399143.0	242806820.0	346937477.0	0.0	42438603.0	79960.0	36366.0	21093310.0	134667.0	0.1721	99.8279	0.0619	66.7945	24.267500000000002	3.6544	5.2216	91.0621	89.1694	99.8119	0.519774	0.275664	0.147197	1.620433				141026833.0
F6_RAS_4_MP180.p2	6663549890.0	6524121235.0	4196061.0	4354616176.0	1588061874.0	236809195.0	340437929.0	0.0	41665021.0	81368.0	37124.0	20712843.0	128672.0	0.1789	99.8211	0.0643	66.7464	24.3414	3.6297	5.2181	91.0878	89.1819	99.8051	0.518595	0.262869	0.148608	1.533148				139428655.0
F9_MOCK_1_MP180.p2	7668396205.0	7530447762.0	4643862.0	5190844203.0	1756276597.0	225685109.0	352997991.0	0.0	49068931.0	102849.0	47283.0	24365872.0	179065.0	0.19369999999999998	99.80630000000001	0.061700000000000005	68.9314	23.322300000000002	2.997	4.6876	92.2538	90.5942	99.7908	0.514383	0.283067	0.146664	1.743215				137948443.0
F9_MOCK_1_MP192.p2	6117541631.0	6017684812.0	3805155.0	4123708291.0	1411839409.0	194315442.0	284016515.0	0.0	39029628.0	66805.0	30464.0	19391031.0	131840.0	0.1569	99.84309999999999	0.06319999999999999	68.5265	23.461499999999997	3.2291	4.7197000000000005	91.988	90.4865	99.82910000000001	0.513588	0.277775	0.152781	1.648283				99856819.0
F9_MOCK_2_MP180.p2	5798796223.0	5702061349.0	3579277.0	3932608701.0	1333155698.0	170470451.0	262247222.0	0.0	37062659.0	75404.0	34464.0	18401895.0	137696.0	0.1869	99.8131	0.0628	68.9682	23.380200000000002	2.9896	4.5992	92.3484	90.8079	99.797	0.511368	0.283256	0.153582	1.735298				96734874.0
F9_MOCK_2_MP192.p2	5771372614.0	5681181354.0	3292509.0	3892326384.0	1345489838.0	175457059.0	264615564.0	0.0	36915790.0	61312.0	28072.0	18341905.0	122575.0	0.15280000000000002	99.8472	0.058	68.5126	23.6833	3.0884	4.6578	92.1959	90.7551	99.8342	0.512074	0.267398	0.151568	1.589366				90191260.0
F9_MOCK_3_MP180.p2	6614676650.0	6505294706.0	4564544.0	4499072885.0	1503428276.0	195373913.0	302855088.0	0.0	42216948.0	86246.0	39340.0	20956192.0	160852.0	0.1874	99.81259999999999	0.0702	69.1602	23.1108	3.0033	4.6555	92.271	90.7452	99.7961	0.5081	0.31416	0.1479	1.890095				109381944.0
F9_MOCK_3_MP192.p2	6623595578.0	6506528632.0	3863331.0	4434882712.0	1552288592.0	206326277.0	309167720.0	0.0	41943329.0	69178.0	31499.0	20840715.0	139946.0	0.15089999999999998	99.8491	0.0594	68.1605	23.857400000000002	3.1711000000000005	4.7517	92.0179	90.39160000000001	99.8353	0.510064	0.262601	0.154293	1.574245				117066946.0
F9_MOCK_4_MP180.p2	7211622888.0	7099179701.0	4622840.0	4888596870.0	1661865217.0	212852959.0	331241815.0	0.0	46218318.0	92498.0	42373.0	22952131.0	165372.0	0.1843	99.81569999999999	0.0651	68.86139999999999	23.409299999999998	2.9983	4.6659	92.2707	90.83200000000001	99.8003	0.513448	0.282722	0.149759	1.759031				112443187.0
F9_MOCK_4_MP192.p2	5491540010.0	5401221549.0	3542513.0	3679545797.0	1283446538.0	182927442.0	251759259.0	0.0	33784477.0	51856.0	23363.0	16788501.0	110865.0	0.13899999999999998	99.861	0.0656	68.1243	23.7622	3.3868	4.6612	91.8865	90.3752	99.8467	0.519736	0.245091	0.146484	1.544335				90318461.0
F9_RAS_1_MP180.p2	5739795194.0	5613928605.0	3329523.0	3790037330.0	1358576983.0	189080785.0	272903984.0	0.0	36136155.0	61272.0	27920.0	17962388.0	112397.0	0.1552	99.8448	0.0593	67.51129999999999	24.2001	3.3681	4.8612	91.7114	89.7003	99.83070000000001	0.516692	0.258967	0.155238	1.445956				125866589.0
F9_RAS_1_MP192.p2	5995259008.0	5874449239.0	3677248.0	3898627367.0	1440453408.0	223811833.0	307879383.0	0.0	37529362.0	94272.0	43923.0	18662882.0	108807.0	0.23479999999999998	99.7652	0.0626	66.3658	24.5207	3.8099000000000003	5.241	90.8865	89.05499999999999	99.7494	0.521832	0.253385	0.15313	1.480325				120809769.0
F9_RAS_2_MP180.p2	8357825540.0	8188415993.0	4627074.0	5551308782.0	1953018660.0	285398320.0	394063157.0	0.0	52999903.0	90574.0	41144.0	26341114.0	169216.0	0.156	99.844	0.056499999999999995	67.79469999999999	23.851	3.4854000000000003	4.8124	91.64569999999999	89.788	99.8294	0.514158	0.262993	0.150571	1.590127				169409547.0
F9_RAS_2_MP192.p2	7207761898.0	7049934007.0	4399738.0	4701228977.0	1717289629.0	266859707.0	360155956.0	0.0	45272621.0	109515.0	51049.0	22513580.0	133092.0	0.2262	99.7738	0.0624	66.68469999999999	24.3589	3.7853	5.1086	91.0437	89.0501	99.7587	0.528719	0.243854	0.151771	1.489427				157827891.0
F9_RAS_3_MP180.p2	7160371773.0	6999637799.0	3831930.0	4676056377.0	1708313177.0	259793918.0	351642397.0	0.0	44974975.0	79540.0	36298.0	22357966.0	139239.0	0.1621	99.8379	0.0547	66.80430000000001	24.4057	3.7115	5.0237	91.21000000000001	89.1625	99.8235	0.512702	0.245721	0.155146	1.374353				160733974.0
F9_RAS_3_MP192.p2	5835845814.0	5722371279.0	3738664.0	3793196434.0	1393859448.0	230147379.0	301429354.0	0.0	36336141.0	73960.0	33940.0	18069023.0	106036.0	0.1875	99.8125	0.06530000000000001	66.2871	24.3581	4.0219	5.2676	90.6452	88.8827	99.7969	0.52381	0.247346	0.145082	1.560465				113474535.0
F9_RAS_4_MP180.p2	5928836098.0	5787352401.0	3155268.0	3849374050.0	1427604562.0	216554335.0	290664186.0	0.0	36044268.0	56368.0	25302.0	17916723.0	114913.0	0.14100000000000001	99.859	0.0545	66.5136	24.6677	3.7419000000000002	5.0224	91.18119999999999	89.0053	99.84389999999999	0.516417	0.225725	0.154605	1.367657				141483697.0
F9_RAS_4_MP192.p2	6771416183.0	6628944477.0	4393284.0	4425822589.0	1608181940.0	249276211.0	341270453.0	0.0	42321153.0	84925.0	39051.0	21047206.0	120292.0	0.1852	99.8148	0.0663	66.7651	24.26	3.7603999999999997	5.1482	91.02510000000001	89.1099	99.7997	0.520832	0.24877	0.146995	1.560214				142471706.0
WT_MOCK_1_MP180.p2	7202643602.0	7095128570.0	4391540.0	4985782118.0	1613197612.0	182936007.0	308821293.0	0.0	47008434.0	106750.0	50165.0	23349126.0	163684.0	0.2144	99.7856	0.0619	70.2705	22.736700000000003	2.5783	4.3526	93.0072	91.6189	99.7734	0.515071	0.289167	0.148283	1.648094				107515032.0
WT_MOCK_1_MP192.p2	5956951108.0	5868862025.0	4360520.0	4071335630.0	1339252222.0	179280168.0	274633485.0	0.0	38069320.0	84471.0	39559.0	18914508.0	127768.0	0.2087	99.7913	0.07429999999999999	69.3718	22.8196	3.0547999999999997	4.6795	92.1914	90.8281	99.7786	0.528039	0.272448	0.142991	1.720244				88089083.0
WT_MOCK_2_MP180.p2	6793729252.0	6690544927.0	4915952.0	4700279829.0	1505219326.0	178688420.0	301441400.0	0.0	44235758.0	117230.0	55365.0	21963768.0	162639.0	0.2514	99.7486	0.0735	70.2526	22.497700000000002	2.6708	4.5055	92.7503	91.3416	99.73570000000001	0.519358	0.312664	0.147572	1.840167				103184325.0
WT_MOCK_2_MP192.p2	6573501031.0	6477557779.0	6581662.0	4498983173.0	1476114735.0	188264034.0	307614175.0	0.0	42309434.0	107825.0	50772.0	21015317.0	147607.0	0.241	99.759	0.1016	69.4549	22.7881	2.9064	4.748900000000001	92.2431	90.8967	99.7458	0.524497	0.302274	0.144936	1.83313				95943252.0
WT_MOCK_3_MP180.p2	6740078054.0	6629355224.0	4410927.0	4646375014.0	1497085793.0	180740173.0	300743317.0	0.0	43485214.0	90470.0	42080.0	21596326.0	154485.0	0.19449999999999998	99.80550000000001	0.0665	70.0879	22.5827	2.7264	4.5365	92.67060000000001	91.1482	99.7924	0.51659	0.293647	0.147232	1.764571				110722830.0
WT_MOCK_3_MP192.p2	6506280107.0	6388750710.0	4891897.0	4400313623.0	1462652310.0	210883591.0	310009289.0	0.0	41565194.0	83359.0	38516.0	20640448.0	151787.0	0.18630000000000002	99.81370000000001	0.0766	68.876	22.8942	3.3008999999999995	4.852399999999999	91.7701	90.11240000000001	99.7999	0.521013	0.291998	0.145396	1.824846				117529397.0
WT_MOCK_4_MP180.p2	7205222628.0	7099823789.0	5253550.0	4951943173.0	1614999350.0	198206659.0	329421057.0	0.0	46383191.0	88171.0	40699.0	23033039.0	166959.0	0.1764	99.8236	0.074	69.7474	22.747	2.7917	4.6398	92.4944	91.14139999999999	99.8103	0.510752	0.301589	0.145833	1.861404				105398839.0
