Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
F6_MOCK_1_MP180.p2	F6_MOCK_1_MP180.p2.Aligned.sortedByCoord.out.bam	46657286.0	46117649.0	62957442758.0	6240810234.0	1720.9737	243.0	19.2151	0.0	23.0988	98.84340250738116
F6_MOCK_2_MP180.p2	F6_MOCK_2_MP180.p2.Aligned.sortedByCoord.out.bam	62618156.0	61865876.0	86013746942.0	8467950663.0	1781.3345	258.0	19.0992	0.0	31.5581	98.7986231980386
F6_MOCK_3_MP180.p2	F6_MOCK_3_MP180.p2.Aligned.sortedByCoord.out.bam	46532902.0	46073763.0	62345173190.0	6297764433.0	1754.6937	254.0	19.8469	0.0	22.8742	99.01330245854858
F6_MOCK_4_MP180.p2	F6_MOCK_4_MP180.p2.Aligned.sortedByCoord.out.bam	50601244.0	49919058.0	66998449145.0	6802767819.0	1773.1182	249.0	19.6375	0.0	24.5815	98.65183946861069
F6_RAS_1_MP180.p2	F6_RAS_1_MP180.p2.Aligned.sortedByCoord.out.bam	48550541.0	47744856.0	68335164257.0	6515564265.0	1839.3246	251.0	19.1066	0.0	25.0719	98.34052312619957
F6_RAS_2_MP180.p2	F6_RAS_2_MP180.p2.Aligned.sortedByCoord.out.bam	51615689.0	50782410.0	71251557479.0	6859651209.0	1831.445	248.0	19.1998	0.0	26.1419	98.38560907324127
F6_RAS_3_MP180.p2	F6_RAS_3_MP180.p2.Aligned.sortedByCoord.out.bam	53926003.0	53037154.0	75115696732.0	7229193270.0	1840.8173	252.0	19.2688	0.0	27.5596	98.35172467723966
F6_RAS_4_MP180.p2	F6_RAS_4_MP180.p2.Aligned.sortedByCoord.out.bam	52911436.0	52026745.0	73592395125.0	7094179898.0	1842.545	253.0	19.2992	0.0	27.0007	98.32797771733128
F9_MOCK_1_MP180.p2	F9_MOCK_1_MP180.p2.Aligned.sortedByCoord.out.bam	61155088.0	60300587.0	82761910430.0	8179165667.0	1765.598	239.0	19.1883	0.0	30.365	98.60273114152007
F9_MOCK_1_MP192.p2	F9_MOCK_1_MP192.p2.Aligned.sortedByCoord.out.bam	48980748.0	48373288.0	65236518665.0	6553423020.0	1737.5002	249.0	19.4341	0.0	23.935	98.75979844162444
F9_MOCK_2_MP180.p2	F9_MOCK_2_MP180.p2.Aligned.sortedByCoord.out.bam	46028983.0	45434215.0	61915801421.0	6188875683.0	1777.0508	241.0	19.3645	0.0	22.7167	98.70784023188173
F9_MOCK_2_MP192.p2	F9_MOCK_2_MP192.p2.Aligned.sortedByCoord.out.bam	46147253.0	45605150.0	61626530686.0	6182895154.0	1745.0761	252.0	19.6135	0.0	22.6105	98.82527568867425
