Sample	pe_sense	pe_antisense	failed
output.F6_MOCK_1_MP180.p2	0.002	0.892	0.106
output.F6_MOCK_2_MP180.p2	0.0023	0.8922	0.1055
output.F6_MOCK_3_MP180.p2	0.0018	0.8947	0.1035
output.F6_MOCK_4_MP180.p2	0.0019	0.9001	0.098
output.F6_RAS_1_MP180.p2	0.0034	0.9412	0.0554
output.F6_RAS_2_MP180.p2	0.0037	0.9394	0.057
output.F6_RAS_3_MP180.p2	0.0029	0.9359	0.0612
output.F6_RAS_4_MP180.p2	0.0027	0.9368	0.0605
output.F9_MOCK_1_MP180.p2	0.0029	0.9727	0.0244
output.F9_MOCK_1_MP192.p2	0.0016	0.9052	0.0932
output.F9_MOCK_2_MP180.p2	0.0019	0.833	0.1651
output.F9_MOCK_2_MP192.p2	0.0018	0.8939	0.1043
output.F9_MOCK_3_MP180.p2	0.0023	0.8053	0.1924
output.F9_MOCK_3_MP192.p2	0.002	0.8995	0.0985
output.F9_MOCK_4_MP180.p2	0.0029	0.9214	0.0757
output.F9_MOCK_4_MP192.p2	0.0021	0.9035	0.0944
output.F9_RAS_1_MP180.p2	0.0028	0.9454	0.0518
output.F9_RAS_1_MP192.p2	0.004	0.9376	0.0584
output.F9_RAS_2_MP180.p2	0.0027	0.9429	0.0543
output.F9_RAS_2_MP192.p2	0.0035	0.9432	0.0533
output.F9_RAS_3_MP180.p2	0.0029	0.9362	0.0609
output.F9_RAS_3_MP192.p2	0.0033	0.9413	0.0554
output.F9_RAS_4_MP180.p2	0.0022	0.9435	0.0542
output.F9_RAS_4_MP192.p2	0.0031	0.9417	0.0552
output.WT_MOCK_1_MP180.p2	0.0027	0.8621	0.1351
output.WT_MOCK_1_MP192.p2	0.0023	0.8944	0.1032
output.WT_MOCK_2_MP180.p2	0.0032	0.8461	0.1508
output.WT_MOCK_2_MP192.p2	0.0029	0.8967	0.1004
output.WT_MOCK_3_MP180.p2	0.0023	0.851	0.1468
output.WT_MOCK_3_MP192.p2	0.0023	0.9008	0.097
output.WT_MOCK_4_MP180.p2	0.0023	0.8504	0.1473
output.WT_MOCK_4_MP192.p2	0.0032	0.9396	0.0572
output.WT_RAS_1_MP180.p2	0.0032	0.9388	0.058
output.WT_RAS_1_MP192.p2	0.0028	0.9488	0.0483
output.WT_RAS_2_MP180.p2	0.0032	0.9343	0.0625
output.WT_RAS_2_MP192.p2	0.0031	0.9437	0.0532
output.WT_RAS_3_MP180.p2	0.0031	0.942	0.0549
output.WT_RAS_3_MP192.p2	0.0029	0.9496	0.0475
output.WT_RAS_4_MP180.p2	0.0026	0.9381	0.0594
output.WT_RAS_4_MP192.p2	0.0031	0.9415	0.0554
