Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
slurm-61781510	28496590	28374322	101415	18866	190831	158325	26602	5904	99.57093813680865	0.35588468655372446	0.0662044125279551	82.96607993460182	13.9400831101865	3.0938369552116796
slurm-61781512	28747017	28620358	100463	24270	198454	163342	27427	7685	99.55940124152708	0.34947278181941455	0.08442615106812648	82.30723492597781	13.820331159865763	3.8724339141564292
slurm-61781514	30630523	30497090	106904	24398	199985	163441	28910	7634	99.56437896930457	0.34901134401133144	0.07965257400273577	81.72662949721229	14.456084206315472	3.8172862964722354
slurm-61781582	31641836	31507377	113128	19204	191524	159355	26157	6012	99.57505942449104	0.35752666185362947	0.0606918005642909	83.20367160251458	13.657296213529374	3.1390321839560578
slurm-61781585	25644459	25538733	87648	16379	184596	156283	23124	5189	99.5877238041949	0.34178143512405545	0.06386954780367954	84.66218119569221	12.52681531560814	2.811003488699647
slurm-61781588	25907474	25797223	88395	20317	192126	160658	24763	6705	99.57444326683489	0.34119497717145253	0.07842138527283672	83.62116527695366	12.88893746811988	3.489897254926454
slurm-61781591	29319640	29194792	99622	23552	197629	163385	26909	7335	99.57418303908233	0.3397790695929418	0.080328407852211	82.67258347712128	13.615916692388264	3.7114998304904647
slurm-61781594	23965443	23863365	81750	18875	189318	159317	23843	6158	99.5740617020933	0.3411161646375575	0.07875923678940548	84.153118034207	12.594153751888356	3.252728213904647
slurm-61781596	26469293	26360271	90236	16962	185579	156056	24173	5350	99.58811895731404	0.3409082365743581	0.06408180226045328	84.09141120493159	13.025719504900879	2.8828692901675295
slurm-61781598	25494259	25379617	90861	21740	194182	161146	25894	7142	99.5503222902066	0.35639788550041795	0.08527410033764857	82.9870945813721	13.33491260775973	3.6779928108681545
slurm-61781600	28029639	27910067	95599	22265	196636	162789	26645	7202	99.57340870497833	0.34106397160519974	0.07943377365652123	82.78697695233834	13.550418031286235	3.662605016375435
slurm-61781602	31292926	31160287	105731	25185	200958	164657	28398	7903	99.57613743118813	0.3378750839726525	0.08048144810747324	81.93602643338409	14.131311020213177	3.9326625464027307
slurm-61781604	27341770	27226973	95307	17646	190077	158780	25625	5672	99.58014056880737	0.3485765552120437	0.06453861619053924	83.5345675699848	13.481378599199273	2.9840538308159323
slurm-61781606	23745791	23643225	81411	19812	190000	159657	23678	6665	99.56806661020472	0.3428439170546056	0.08343373358251154	84.03	12.462105263157895	3.507894736842105
slurm-61781608	28717349	28593523	102449	19471	192932	159130	27698	6104	99.56881117403978	0.356749503584053	0.06780221948759964	82.47983745568386	14.356353533887587	3.163809010428545
slurm-61781610	25186860	25078417	86161	20888	191458	160350	24322	6786	99.56944613183222	0.3420871041487506	0.08293213207204074	83.75205005797616	12.703569451263464	3.5443804907603758
slurm-61781612	29747706	29622020	105485	18278	188580	158206	24829	5545	99.57749347126128	0.35459877141450835	0.061443393315773656	83.89330787994486	13.166295471417966	2.9403966486371833
slurm-61781614	26515285	26399595	92811	21243	195829	162467	26408	6954	99.56368562510265	0.35002829500041205	0.08011605381575193	82.96370813311613	13.485234566892542	3.551057299991319
slurm-61781616	32824345	32681348	112595	28234	205570	166396	30417	8757	99.5643568820642	0.3430228386887842	0.0860154254410865	80.94371746850221	14.796419711047331	4.259862820450455
slurm-61781618	28736042	28611307	99651	23294	199493	164222	27668	7603	99.56592839055567	0.3467805343547313	0.08106196392669526	82.3196803897881	13.8691583163319	3.811161293879986
slurm-61781620	26802444	26688607	94207	17809	188401	157162	25684	5555	99.57527380711998	0.3514866032366302	0.06644543311050291	83.41887781911986	13.632624030658011	2.948498150222133
slurm-61781622	25188597	25078803	87383	20621	193106	160272	25936	6898	99.56411228461832	0.3469149155072035	0.08186640962972253	82.99690325520699	13.430965376528953	3.572131368264062
slurm-61781624	34745781	34601406	120529	21346	199351	163458	29407	6486	99.58448192602147	0.3468881588817935	0.061434796932611765	81.99507401517926	14.751368189775823	3.253557795044921
slurm-61781626	29328729	29202805	105623	18160	188803	158117	25070	5616	99.57064624246075	0.3601349379988475	0.06191881005140046	83.74708029003777	13.278390703537548	2.974529006424686
slurm-61781628	25238897	25129481	90839	16788	187257	156376	25354	5527	99.56647867773303	0.35991667940163946	0.06651637747877809	83.50876068718392	13.539680759597772	2.951558553218304
slurm-61781630	32351160	32180727	142790	25163	202643	162922	32203	7518	99.47317808696813	0.44137520880240466	0.0777808276426564	80.39853338136525	15.891493908005705	3.709972710629037
slurm-61781633	29172943	29048439	103571	18956	190672	158212	26627	5833	99.5732209808246	0.3550241742836847	0.06497801747324566	82.97600067130989	13.964819165897458	3.059180162792649
slurm-61781634	23852258	23750192	83630	16587	186138	155821	24742	5575	99.57209082678881	0.35061670052369887	0.06954058605269153	83.7126218182209	13.292288517121706	2.995089664657405
