Sample	total_reads	Uni_Vec counts	Uni_Vec percentage	rRNA counts	rRNA percentage	No hits counts	No hits percentage
F6_MOCK_1_MP180.R1.trim_screen	1015264	913.0	0.08	18187.0	1.79	996786	98.18
F6_MOCK_1_MP180.R2.trim_screen	1015264	1083.0	0.11000000000000001	18214.0	1.79	996684	98.17
F6_MOCK_2_MP180.R1.trim_screen	989637	906.0	0.09000000000000001	18413.0	1.86	971031	98.12
F6_MOCK_2_MP180.R2.trim_screen	989637	1055.0	0.11000000000000001	18409.0	1.85	970932	98.11
F6_MOCK_3_MP180.R1.trim_screen	1015820	1035.0	0.11	16185.0	1.6	999363	98.38
F6_MOCK_3_MP180.R2.trim_screen	1015820	1158.0	0.12	16222.0	1.6	999262	98.37
F6_MOCK_4_MP180.R1.trim_screen	1007462	1026.0	0.1	17292.0	1.7200000000000002	989932	98.26
F6_MOCK_4_MP180.R2.trim_screen	1007462	1271.0	0.13	17269.0	1.7100000000000002	989831	98.25
F6_RAS_1_MP180.R1.trim_screen	1012133	2385.0	0.22999999999999998	15824.0	1.56	994724	98.28
F6_RAS_1_MP180.R2.trim_screen	1012133	2466.0	0.24	15794.0	1.56	994724	98.28
F6_RAS_2_MP180.R1.trim_screen	984398	2065.0	0.21000000000000002	13255.0	1.35	969828	98.52
F6_RAS_2_MP180.R2.trim_screen	984398	2183.0	0.22000000000000003	13251.0	1.34	969828	98.52
F6_RAS_3_MP180.R1.trim_screen	988463	2080.0	0.21000000000000002	15432.0	1.55	971757	98.31
F6_RAS_3_MP180.R2.trim_screen	988463	2186.0	0.21000000000000002	15427.0	1.56	971659	98.3
F6_RAS_4_MP180.R1.trim_screen	1010910	2214.0	0.22000000000000003	15872.0	1.57	993623	98.29
F6_RAS_4_MP180.R2.trim_screen	1010910	2366.0	0.22999999999999998	15900.0	1.57	993522	98.28
F9_MOCK_1_MP180.R1.trim_screen	1002565	1022.0	0.11	17531.0	1.7500000000000002	984819	98.23
F9_MOCK_1_MP180.R2.trim_screen	1002565	1179.0	0.12	17563.0	1.7500000000000002	984619	98.21
F9_MOCK_1_MP192.R1.trim_screen	1018662	978.0	0.1	18081.0	1.78	1000326	98.2
F9_MOCK_1_MP192.R2.trim_screen	1018662	1177.0	0.12	18236.0	1.7900000000000003	1000020	98.17
F9_MOCK_2_MP180.R1.trim_screen	1006997	929.0	0.09000000000000001	13944.0	1.3900000000000001	992798	98.59
F9_MOCK_2_MP180.R2.trim_screen	1006997	1169.0	0.12	14016.0	1.3900000000000001	992596	98.57
F9_MOCK_2_MP192.R1.trim_screen	1006012	996.0	0.1	15584.0	1.54	990117	98.42
F9_MOCK_2_MP192.R2.trim_screen	1006012	1149.0	0.12	15642.0	1.56	990016	98.41
F9_MOCK_3_MP180.R1.trim_screen	1004210	929.0	0.09000000000000001	18365.0	1.83	985632	98.15
F9_MOCK_3_MP180.R2.trim_screen	1004210	1176.0	0.12	18432.0	1.84	985431	98.13
F9_MOCK_3_MP192.R1.trim_screen	1003993	1004.0	0.09000000000000001	16807.0	1.6700000000000002	986925	98.3
F9_MOCK_3_MP192.R2.trim_screen	1003993	1209.0	0.12	16834.0	1.6800000000000002	986824	98.29
F9_MOCK_4_MP180.R1.trim_screen	1013789	1041.0	0.09000000000000001	16269.0	1.6	997264	98.37
