Sample	Encoding	total_read_pairs	trimmed_read_pairs	avg_sequence_length	sequence_length	gc_content	percent_duplication	percent_aligned	median_insert_size	mean_insert_size	mean_mapping_quality	mean_coverage	avg_aligned_read_length	pct_mrna_bases	pct_coding_bases	pct_intronic_bases	pct_utr_bases	pct_intergenic_bases	median_cv_coverage	median_5prime_to_3prime_bias	median_5prime_bias	median_3prime_bias	human_percent_aligned	mouse_percent_aligned	bacteria_percent_aligned	fungi_percent_aligned	virus_percent_aligned	rRNA_percent_aligned	uni_vec_percent_aligned	percent_antisense_strand	percent_sense_strand
F6_MOCK_1_MP180	Sanger / Illumina 1.9	21364127	21320564	136.285	35-151	52.0	20.2	94.16	243.0	1720.974	19.215	23.099	272	92.608	69.594	2.806	23.014	4.52	0.519	1.756	0.29	0.147						1.79	0.11	89.2	0.2
F6_MOCK_2_MP180	Sanger / Illumina 1.9	28755347	28699497	137.788	35-151	52.0	22.2	94.27	258.0	1781.334	19.099	31.558	275	92.694	69.682	2.743	23.012	4.492	0.513	1.941	0.3	0.14						1.85	0.11	89.2	0.2
F6_MOCK_3_MP180	Sanger / Illumina 1.9	21369965	21332223	137.609	35-151	51.0	18.6	94.37	254.0	1754.694	19.847	22.874	275	92.032	67.649	3.044	24.383	4.859	0.515	1.509	0.246	0.154						1.6	0.12	89.5	0.2
F6_MOCK_4_MP180	Sanger / Illumina 1.9	23229202	23171643	137.201	35-151	51.0	19.5	93.99	249.0	1773.118	19.637	24.581	274	91.795	67.922	3.325	23.873	4.819	0.513	1.615	0.258	0.154						1.71	0.13	90.0	0.2
F6_RAS_1_MP180	Sanger / Illumina 1.9	22311810	22266931	137.395	35-151	51.0	17.1	93.81	251.0	1839.325	19.107	25.072	274	91.326	67.233	3.516	24.093	5.09	0.525	1.62	0.27	0.144						1.56	0.24	94.1	0.3
F6_RAS_2_MP180	Sanger / Illumina 1.9	23682375	23625563	136.055	35-151	51.0	17.8	93.76	248.0	1831.445	19.2	26.142	272	91.706	67.419	3.292	24.287	4.938	0.527	1.658	0.27	0.148						1.34	0.22	93.9	0.4
F6_RAS_3_MP180	Sanger / Illumina 1.9	24760887	24711598	137.274	35-151	51.0	18.4	93.75	252.0	1840.817	19.269	27.56	274	91.062	66.794	3.654	24.268	5.222	0.52	1.62	0.276	0.147						1.56	0.21	93.6	0.3
F6_RAS_4_MP180	Sanger / Illumina 1.9	24313136	24261844	137.296	35-151	51.0	18.3	93.76	253.0	1842.545	19.299	27.001	274	91.088	66.746	3.63	24.341	5.218	0.519	1.533	0.263	0.149						1.57	0.23	93.7	0.3
F9_MOCK_1_MP180	Sanger / Illumina 1.9	28141118	28071834	136.562	35-151	52.0	21.4	94.09	239.0	1765.598	19.188	30.365	273	92.254	68.931	2.997	23.322	4.688	0.514	1.743	0.283	0.147						1.75	0.12	97.3	0.3
F9_MOCK_1_MP192	Sanger / Illumina 1.9	22459984	22410569	136.453	35-151	52.0	19.3	94.08	249.0	1737.5	19.434	23.935	272	91.988	68.526	3.229	23.461	4.72	0.514	1.648	0.278	0.153						1.79	0.12	90.5	0.2
F9_MOCK_2_MP180	Sanger / Illumina 1.9	21195875	21146952	137.082	35-151	52.0	19.3	94.22	241.0	1777.051	19.364	22.717	274	92.348	68.968	2.99	23.38	4.599	0.511	1.735	0.283	0.154						1.39	0.12	83.3	0.2
F9_MOCK_2_MP192	Sanger / Illumina 1.9	21168728	21126252	136.567	35-151	52.0	18.3	94.17	252.0	1745.076	19.613	22.61	273	92.196	68.513	3.088	23.683	4.658	0.512	1.589	0.267	0.152						1.56	0.12	89.4	0.2
F9_MOCK_3_MP180	Sanger / Illumina 1.9	24154365	24101053	137.201	35-151	52.0	20.8	94.23	241.0	1754.668	19.371	25.987	274	92.271	69.16	3.003	23.111	4.655	0.508	1.89	0.314	0.148						1.84	0.12	80.5	0.2
F9_MOCK_3_MP192	Sanger / Illumina 1.9	24157116	24095854	137.415	35-151	51.0	20.1	93.96	251.0	1762.108	19.82	25.573	274	92.018	68.16	3.171	23.857	4.752	0.51	1.574	0.263	0.154						1.68	0.12	89.9	0.2
