Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
F6_MOCK_1_MP180.p2	library	6481.0	21047505.0	4016158.0	539637.0	4985.0	4248622.0	50742.0	0.201946	45249422.0
F6_MOCK_2_MP180.p2	library	7488.0	28319613.0	5219162.0	752280.0	6058.0	6279564.0	62720.0	0.221817	54404845.0
F6_MOCK_3_MP180.p2	library	4283.0	21100512.0	3868456.0	459139.0	3342.0	3922023.0	42783.0	0.185934	49895027.0
F6_MOCK_4_MP180.p2	library	9160.0	22825970.0	4257958.0	682186.0	7183.0	4448363.0	52748.0	0.195	51128650.0
F6_RAS_1_MP180.p2	library	6305.0	21860936.0	4016679.0	805685.0	4902.0	3734272.0	44251.0	0.170907	56995799.0
F6_RAS_2_MP180.p2	library	8751.0	23204548.0	4364563.0	833279.0	6849.0	4136832.0	48219.0	0.178391	57604053.0
F6_RAS_3_MP180.p2	library	6757.0	24263795.0	4502807.0	888849.0	5285.0	4466157.0	63350.0	0.18415	58171538.0
F6_RAS_4_MP180.p2	library	7657.0	23815670.0	4387748.0	884691.0	5972.0	4347787.0	59030.0	0.182656	57614105.0
F9_MOCK_1_MP180.p2	library	10473.0	27639347.0	5011420.0	854501.0	8435.0	5904364.0	57672.0	0.213734	55496459.0
F9_MOCK_1_MP192.p2	library	6968.0	22103355.0	4159610.0	607460.0	5388.0	4261299.0	53240.0	0.192881	50159859.0
F9_MOCK_2_MP180.p2	library	8378.0	20845379.0	3735079.0	594768.0	6434.0	4022299.0	51823.0	0.193074	47270815.0
F9_MOCK_2_MP192.p2	library	5213.0	20852594.0	3894749.0	542103.0	4007.0	3804979.0	47340.0	0.182544	50430401.0
F9_MOCK_3_MP180.p2	library	7906.0	23764246.0	4316389.0	665708.0	6316.0	4937398.0	54736.0	0.207864	49355944.0
F9_MOCK_3_MP192.p2	library	9039.0	23731069.0	4408485.0	720531.0	7118.0	4774384.0	58870.0	0.201299	51233141.0
F9_MOCK_4_MP180.p2	library	6883.0	26017837.0	4709410.0	674503.0	5462.0	5404779.0	59831.0	0.207811	54045666.0
F9_MOCK_4_MP192.p2	library	7071.0	19137293.0	3241294.0	552075.0	5362.0	3295036.0	45389.0	0.172287	49520115.0
F9_RAS_1_MP180.p2	library	5496.0	20507492.0	3773711.0	793340.0	4212.0	3406646.0	42511.0	0.166198	55220134.0
F9_RAS_1_MP192.p2	library	3803.0	21515566.0	3867648.0	758605.0	2917.0	3603793.0	49470.0	0.16755	57449064.0
F9_RAS_2_MP180.p2	library	7892.0	30089935.0	5583922.0	1071976.0	6400.0	6199055.0	75997.0	0.206097	63173230.0
F9_RAS_2_MP192.p2	library	8893.0	25905638.0	4712591.0	1014571.0	7023.0	4807675.0	55786.0	0.185688	61400275.0
F9_RAS_3_MP180.p2	library	8524.0	25648726.0	4764637.0	1027762.0	6755.0	4773183.0	59531.0	0.186199	60637564.0
F9_RAS_3_MP192.p2	library	4027.0	20864487.0	3705775.0	713013.0	3115.0	3696075.0	54520.0	0.177204	52299760.0
F9_RAS_4_MP180.p2	library	10496.0	20553831.0	3482270.0	905600.0	8118.0	3513548.0	65906.0	0.171097	53835437.0
F9_RAS_4_MP192.p2	library	4535.0	24213088.0	4270762.0	903403.0	3527.0	4251555.0	61662.0	0.175646	61299309.0
WT_MOCK_1_MP180.p2	library	6245.0	26336370.0	4941346.0	642839.0	5032.0	6003417.0	62312.0	0.22802	48962348.0
WT_MOCK_1_MP192.p2	library	5939.0	21545318.0	4098337.0	517791.0	4589.0	4415575.0	57821.0	0.205022	45541021.0
WT_MOCK_2_MP180.p2	library	6141.0	24862420.0	4774745.0	616597.0	4896.0	5674896.0	55360.0	0.228322	46128751.0
WT_MOCK_2_MP192.p2	library	5602.0	23933288.0	4652001.0	569062.0	4432.0	5138000.0	63327.0	0.214748	47863158.0
WT_MOCK_3_MP180.p2	library	6565.0	24438931.0	4639877.0	667435.0	5248.0	5472930.0	52482.0	0.22402	46384995.0
WT_MOCK_3_MP192.p2	library	9007.0	23616104.0	4606105.0	728113.0	7125.0	4929131.0	54837.0	0.20883	48785696.0
WT_MOCK_4_MP180.p2	library	5209.0	26121648.0	4934084.0	622571.0	4150.0	5685290.0	59126.0	0.217704	51323504.0
WT_MOCK_4_MP192.p2	library	6013.0	20055784.0	3565715.0	860453.0	4578.0	3224841.0	40898.0	0.160884	56043409.0
WT_RAS_1_MP180.p2	library	5592.0	21406771.0	4027727.0	744528.0	4342.0	3922334.0	51299.0	0.183306	51548990.0
WT_RAS_1_MP192.p2	library	3964.0	17338818.0	2887034.0	616260.0	2991.0	2655510.0	46577.0	0.153223	51385254.0
WT_RAS_2_MP180.p2	library	6029.0	23785810.0	4578617.0	827615.0	4786.0	4709084.0	63655.0	0.198054	52372747.0
WT_RAS_2_MP192.p2	library	7109.0	22075258.0	4032610.0	825241.0	5507.0	3888485.0	46473.0	0.176243	55573885.0
WT_RAS_3_MP180.p2	library	6196.0	21109612.0	3980137.0	832210.0	4742.0	3797369.0	48451.0	0.179974	51908932.0
WT_RAS_3_MP192.p2	library	4241.0	19560124.0	3593912.0	611189.0	3209.0	3364646.0	41448.0	0.172079	50611306.0
WT_RAS_4_MP180.p2	library	7131.0	27023113.0	5138330.0	990549.0	5743.0	5383507.0	67838.0	0.199299	59027623.0
WT_RAS_4_MP192.p2	library	8106.0	25422904.0	4630387.0	1031194.0	6401.0	4645137.0	55638.0	0.182811	61366733.0
