Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
F6_MOCK_1_MP180.RSEM	266578	19774451	0	20041029	98.66983875927728	18801495	972956	13336961
F6_MOCK_2_MP180.RSEM	372396	26604456	0	26976852	98.61957206867577	25338069	1266387	17827722
F6_MOCK_3_MP180.RSEM	227428	19763078	0	19990506	98.86231994327707	18822428	940650	13186389
F6_MOCK_4_MP180.RSEM	336513	21313896	0	21650409	98.44569679953852	20288028	1025868	14248429
F6_RAS_1_MP180.RSEM	399690	20289456	0	20689146	98.0681174563706	19334460	954996	14037993
F6_RAS_2_MP180.RSEM	412264	21634828	0	22047092	98.13007538590577	20588314	1046514	14921247
F6_RAS_3_MP180.RSEM	441046	22484049	0	22925095	98.07614319591697	21417431	1066618	15450441
F6_RAS_4_MP180.RSEM	438517	22077513	0	22516030	98.052423095901	21036482	1041031	15217462
F9_MOCK_1_MP180.RSEM	422014	25807209	0	26229223	98.39105413073045	24555740	1251469	17269716
F9_MOCK_1_MP192.RSEM	300246	20669310	0	20969556	98.56818141499993	19658197	1011113	14001449
F9_MOCK_2_MP180.RSEM	293195	19504835	0	19798030	98.51906982664437	18554817	950018	12968970
F9_MOCK_2_MP192.RSEM	268445	19537280	0	19805725	98.644609071367	18585852	951428	13181727
F9_MOCK_3_MP180.RSEM	328901	22205704	0	22534605	98.54046254638145	21126350	1079354	14778026
F9_MOCK_3_MP192.RSEM	355746	22201192	0	22556938	98.42289764683487	21124268	1076924	14971182
F9_MOCK_4_MP180.RSEM	333810	24318476	0	24652286	98.64592679153567	23140291	1178185	16223022
F9_MOCK_4_MP192.RSEM	272502	17870698	0	18143200	98.49804885576965	17061782	808916	11924739
F9_RAS_1_MP180.RSEM	393922	19076466	0	19470388	97.97681484313513	18154187	922279	13182044
F9_RAS_1_MP192.RSEM	377401	19913523	0	20290924	98.14005020175523	18986563	926960	13903465
F9_RAS_2_MP180.RSEM	532042	27994772	0	28526814	98.13494069123878	26618184	1376588	19285637
F9_RAS_2_MP192.RSEM	502839	24005949	0	24508788	97.94833183917541	22880446	1125503	16791434
F9_RAS_3_MP180.RSEM	509619	23801305	0	24310924	97.90374483503794	22633408	1167897	16381548
F9_RAS_3_MP192.RSEM	354493	19269686	0	19624179	98.19359067199703	18381389	888297	13439806
F9_RAS_4_MP180.RSEM	447552	19038767	0	19486319	97.70325016233184	18164255	874512	12929087
F9_RAS_4_MP192.RSEM	449434	22430831	0	22880265	98.03571331013868	21404093	1026738	15699967
WT_MOCK_1_MP180.RSEM	318297	24825792	0	25144089	98.73410804424053	23564397	1261395	16654457
WT_MOCK_1_MP192.RSEM	255926	20181119	0	20437045	98.74773481195544	19181045	1000074	13711331
WT_MOCK_2_MP180.RSEM	305228	23362549	0	23667777	98.71036472922657	22160736	1201813	15669025
WT_MOCK_2_MP192.RSEM	281730	22429853	0	22711583	98.75953164515217	21302891	1126962	15201429
WT_MOCK_3_MP180.RSEM	330435	22949331	0	23279766	98.58059140285172	21794657	1154674	15375648
WT_MOCK_3_MP192.RSEM	359553	22038339	0	22397892	98.39470160852638	20925328	1113011	14939957
WT_MOCK_4_MP180.RSEM	308681	24489894	0	24798575	98.7552470252827	23268145	1221749	16329824
WT_MOCK_4_MP192.RSEM	427220	18541633	0	18968853	97.74778158700475	17689367	852266	12928261
WT_RAS_1_MP180.RSEM	369468	19932429	0	20301897	98.18013065478561	18976568	955861	13746476
WT_RAS_1_MP192.RSEM	306148	16100935	0	16407083	98.13404978813114	15387204	713731	11097491
WT_RAS_2_MP180.RSEM	410793	22107162	0	22517955	98.1757091174576	21031897	1075265	15210502
WT_RAS_2_MP192.RSEM	409066	20491415	0	20900481	98.04279145537367	19516028	975387	14163139
WT_RAS_3_MP180.RSEM	413007	19606825	0	20019832	97.93701066022932	18664435	942390	13439139
WT_RAS_3_MP192.RSEM	303474	18192852	0	18496326	98.3592741607171	17324302	868550	12619982
WT_RAS_4_MP180.RSEM	491709	25163124	0	25654833	98.08336698196398	23946057	1217067	17281990
WT_RAS_4_MP192.RSEM	511544	23575472	0	24087016	97.8762666160059	22460523	1114949	16338452
