Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
F6_MOCK_1_MP180	21320564.0	272.0	20075852.0	94.16	272.35	25644459.0	25513878.0	25393592.0	220091.0	22314.0	8462.0	0.18	0.0	1.17	0.0	2.16	978134.0	4.59	18490.0	0.09	0.0	1.11	0.05	0	237395	10693
F6_MOCK_1_MP180.p2	21320564.0	272.0	20075852.0	94.16	272.35	25644459.0	25513878.0	25393592.0	220091.0	22314.0	8462.0	0.18	0.0	1.17	0.0	2.16	978134.0	4.59	18490.0	0.09	0.0	1.11	0.05	0	237395	10693
F6_MOCK_2_MP180	28699497.0	275.0	27056422.0	94.27	275.29	34745781.0	34568066.0	34408079.0	296703.0	29893.0	11106.0	0.18	0.0	1.19	0.0	2.25	1270679.0	4.43	23174.0	0.08	0.0	1.16	0.06	0	332047	17175
F6_MOCK_2_MP180.p2	28699497.0	275.0	27056422.0	94.27	275.29	34745781.0	34568066.0	34408079.0	296703.0	29893.0	11106.0	0.18	0.0	1.19	0.0	2.25	1270679.0	4.43	23174.0	0.08	0.0	1.16	0.06	0	332047	17175
F6_MOCK_3_MP180	21332223.0	275.0	20130745.0	94.37	275.01	25317726.0	25187690.0	25068843.0	219153.0	21832.0	7898.0	0.16	0.0	1.17	0.0	1.91	974050.0	4.57	17720.0	0.08	0.0	0.92	0.06	0	196869	12839
F6_MOCK_3_MP180.p2	21332223.0	275.0	20130745.0	94.37	275.01	25317726.0	25187690.0	25068843.0	219153.0	21832.0	7898.0	0.16	0.0	1.17	0.0	1.91	974050.0	4.57	17720.0	0.08	0.0	0.92	0.06	0	196869	12839
F6_MOCK_4_MP180	23171643.0	274.0	21778471.0	93.99	274.18	27341770.0	27200367.0	27074199.0	234937.0	23980.0	8654.0	0.18	0.0	1.18	0.0	2.02	1056659.0	4.56	19537.0	0.08	0.0	1.31	0.06	0	303094	13882
F6_MOCK_4_MP180.p2	23171643.0	274.0	21778471.0	93.99	274.18	27341770.0	27200367.0	27074199.0	234937.0	23980.0	8654.0	0.18	0.0	1.18	0.0	2.02	1056659.0	4.56	19537.0	0.08	0.0	1.31	0.06	0	303094	13882
F6_RAS_1_MP180	22266931.0	274.0	20889052.0	93.81	274.52	26515285.0	26368500.0	26251420.0	231384.0	24579.0	7902.0	0.19	0.0	1.17	0.0	1.96	978189.0	4.39	22922.0	0.1	0.0	1.62	0.07	0	361162	15606
F6_RAS_1_MP180.p2	22266931.0	274.0	20889052.0	93.81	274.52	26515285.0	26368500.0	26251420.0	231384.0	24579.0	7902.0	0.19	0.0	1.17	0.0	1.96	978189.0	4.39	22922.0	0.1	0.0	1.62	0.07	0	361162	15606
F6_RAS_2_MP180	23625563.0	272.0	22151771.0	93.76	271.96	28029639.0	27878649.0	27751513.0	243506.0	26321.0	8299.0	0.18	0.0	1.16	0.0	1.8	1061528.0	4.49	25351.0	0.11	0.0	1.57	0.07	0	370398	16515
F6_RAS_2_MP180.p2	23625563.0	272.0	22151771.0	93.76	271.96	28029639.0	27878649.0	27751513.0	243506.0	26321.0	8299.0	0.18	0.0	1.16	0.0	1.8	1061528.0	4.49	25351.0	0.11	0.0	1.57	0.07	0	370398	16515
F6_RAS_3_MP180	24711598.0	274.0	23167662.0	93.75	274.25	29171547.0	29008924.0	28881977.0	253443.0	27529.0	8598.0	0.19	0.0	1.17	0.0	1.94	1102890.0	4.46	25648.0	0.1	0.0	1.61	0.08	0	395734	19664
F6_RAS_3_MP180.p2	24711598.0	274.0	23167662.0	93.75	274.25	29171547.0	29008924.0	28881977.0	253443.0	27529.0	8598.0	0.19	0.0	1.17	0.0	1.94	1102890.0	4.46	25648.0	0.1	0.0	1.61	0.08	0	395734	19664
F6_RAS_4_MP180	24261844.0	274.0	22746832.0	93.76	274.35	28736042.0	28578025.0	28449424.0	250676.0	27335.0	8607.0	0.17	0.0	1.16	0.0	1.89	1076495.0	4.44	24816.0	0.1	0.0	1.63	0.07	0	396666	17035
F6_RAS_4_MP180.p2	24261844.0	274.0	22746832.0	93.76	274.35	28736042.0	28578025.0	28449424.0	250676.0	27335.0	8607.0	0.17	0.0	1.16	0.0	1.89	1076495.0	4.44	24816.0	0.1	0.0	1.63	0.07	0	396666	17035
F9_MOCK_1_MP180	28071834.0	273.0	26411633.0	94.09	272.84	32351160.0	32136823.0	32039570.0	272183.0	28934.0	10473.0	0.18	0.0	1.16	0.0	2.07	1238187.0	4.41	24989.0	0.09	0.0	1.32	0.09	0	371683	25342
F9_MOCK_1_MP180.p2	28071834.0	273.0	26411633.0	94.09	272.84	32351160.0	32136823.0	32039570.0	272183.0	28934.0	10473.0	0.18	0.0	1.16	0.0	2.07	1238187.0	4.41	24989.0	0.09	0.0	1.32	0.09	0	371683	25342
F9_MOCK_1_MP192	22410569.0	272.0	21084573.0	94.08	272.73	26802444.0	26662133.0	26537836.0	231109.0	24605.0	8894.0	0.16	0.0	1.16	0.0	2.09	1025750.0	4.58	20632.0	0.09	0.0	1.19	0.06	0	266193	13421
F9_MOCK_1_MP192.p2	22410569.0	272.0	21084573.0	94.08	272.73	26802444.0	26662133.0	26537836.0	231109.0	24605.0	8894.0	0.16	0.0	1.16	0.0	2.09	1025750.0	4.58	20632.0	0.09	0.0	1.19	0.06	0	266193	13421
F9_MOCK_2_MP180	21146952.0	274.0	19924098.0	94.22	273.9	24385447.0	24224732.0	24151620.0	205012.0	21108.0	7707.0	0.17	0.0	1.16	0.0	1.92	929659.0	4.4	18537.0	0.09	0.0	1.21	0.09	0	255643	19015
F9_MOCK_2_MP180.p2	21146952.0	274.0	19924098.0	94.22	273.9	24385447.0	24224732.0	24151620.0	205012.0	21108.0	7707.0	0.17	0.0	1.16	0.0	1.92	929659.0	4.4	18537.0	0.09	0.0	1.21	0.09	0	255643	19015
F9_MOCK_2_MP192	21126252.0	273.0	19894167.0	94.17	272.94	25238897.0	25104658.0	24993268.0	215152.0	22504.0	7973.0	0.17	0.0	1.17	0.0	1.96	963640.0	4.56	19098.0	0.09	0.0	1.12	0.06	0	236668	12679
F9_MOCK_2_MP192.p2	21126252.0	273.0	19894167.0	94.17	272.94	25238897.0	25104658.0	24993268.0	215152.0	22504.0	7973.0	0.17	0.0	1.17	0.0	1.96	963640.0	4.56	19098.0	0.09	0.0	1.12	0.06	0	236668	12679
F9_MOCK_3_MP180	24101053.0	274.0	22711515.0	94.23	274.12	27781300.0	27600990.0	27513739.0	234953.0	23626.0	8982.0	0.17	0.0	1.17	0.0	2.2	1060637.0	4.4	20710.0	0.09	0.0	1.19	0.08	0	288777	19414
F9_MOCK_3_MP180.p2	24101053.0	274.0	22711515.0	94.23	274.12	27781300.0	27600990.0	27513739.0	234953.0	23626.0	8982.0	0.17	0.0	1.17	0.0	2.2	1060637.0	4.4	20710.0	0.09	0.0	1.19	0.08	0	288777	19414
F9_MOCK_3_MP192	24095854.0	274.0	22641205.0	93.96	274.59	28717349.0	28565223.0	28438166.0	244357.0	25891.0	8935.0	0.18	0.0	1.17	0.0	2.03	1098903.0	4.56	21725.0	0.09	0.0	1.33	0.06	0	319603	14418
F9_MOCK_3_MP192.p2	24095854.0	274.0	22641205.0	93.96	274.59	28717349.0	28565223.0	28438166.0	244357.0	25891.0	8935.0	0.18	0.0	1.17	0.0	2.03	1098903.0	4.56	21725.0	0.09	0.0	1.33	0.06	0	319603	14418
F9_MOCK_4_MP180	26358530.0	273.0	24866499.0	94.34	273.26	30358693.0	30159484.0	30067217.0	255231.0	26406.0	9839.0	0.17	0.0	1.16	0.0	2.01	1158221.0	4.39	23690.0	0.09	0.0	1.08	0.09	0	286265	23855
F9_MOCK_4_MP180.p2	26358530.0	273.0	24866499.0	94.34	273.26	30358693.0	30159484.0	30067217.0	255231.0	26406.0	9839.0	0.17	0.0	1.16	0.0	2.01	1158221.0	4.39	23690.0	0.09	0.0	1.08	0.09	0	286265	23855
F9_MOCK_4_MP192	19416866.0	282.0	18317943.0	94.34	282.52	23852258.0	23725867.0	23611677.0	211093.0	21744.0	7744.0	0.17	0.0	1.18	0.0	1.81	826421.0	4.26	15713.0	0.08	0.0	1.26	0.06	0	245117	11672
F9_MOCK_4_MP192.p2	19416866.0	282.0	18317943.0	94.34	282.52	23852258.0	23725867.0	23611677.0	211093.0	21744.0	7744.0	0.17	0.0	1.18	0.0	1.81	826421.0	4.26	15713.0	0.08	0.0	1.26	0.06	0	245117	11672
F9_RAS_1_MP180	20906910.0	274.0	19580920.0	93.66	274.17	24896572.0	24761229.0	24655308.0	210094.0	23183.0	7987.0	0.18	0.0	1.16	0.0	1.93	932068.0	4.46	21243.0	0.1	0.0	1.71	0.08	0	356023	16656
F9_RAS_1_MP180.p2	20906910.0	274.0	19580920.0	93.66	274.17	24896572.0	24761229.0	24655308.0	210094.0	23183.0	7987.0	0.18	0.0	1.16	0.0	1.93	932068.0	4.46	21243.0	0.1	0.0	1.71	0.08	0	356023	16656
F9_RAS_1_MP192	21896770.0	273.0	20570733.0	93.94	273.47	25907474.0	25766320.0	25645839.0	227778.0	25656.0	8201.0	0.18	0.0	1.15	0.0	1.91	948636.0	4.33	22366.0	0.1	0.0	1.54	0.08	0	337502	17533
F9_RAS_1_MP192.p2	21896770.0	273.0	20570733.0	93.94	273.47	25907474.0	25766320.0	25645839.0	227778.0	25656.0	8201.0	0.18	0.0	1.15	0.0	1.91	948636.0	4.33	22366.0	0.1	0.0	1.54	0.08	0	337502	17533
F9_RAS_2_MP180	30629869.0	272.0	28721842.0	93.77	272.6	36266754.0	36069757.0	35914756.0	305607.0	34348.0	12043.0	0.18	0.0	1.16	0.0	2.03	1375985.0	4.49	30254.0	0.1	0.0	1.57	0.07	0	480370	21418
F9_RAS_2_MP180.p2	30629869.0	272.0	28721842.0	93.77	272.6	36266754.0	36069757.0	35914756.0	305607.0	34348.0	12043.0	0.18	0.0	1.16	0.0	2.03	1375985.0	4.49	30254.0	0.1	0.0	1.57	0.07	0	480370	21418
F9_RAS_2_MP192	26417370.0	272.0	24767667.0	93.76	272.54	31292926.0	31124129.0	30977093.0	275958.0	30620.0	9255.0	0.18	0.0	1.16	0.0	1.83	1146864.0	4.34	27367.0	0.1	0.0	1.72	0.08	0	454340	21132
F9_RAS_2_MP192.p2	26417370.0	272.0	24767667.0	93.76	272.54	31292926.0	31124129.0	30977093.0	275958.0	30620.0	9255.0	0.18	0.0	1.16	0.0	1.83	1146864.0	4.34	27367.0	0.1	0.0	1.72	0.08	0	454340	21132
F9_RAS_3_MP180	26166869.0	273.0	24468238.0	93.51	273.33	30630523.0	30462497.0	30333442.0	258377.0	29069.0	9635.0	0.17	0.0	1.15	0.0	1.88	1189012.0	4.54	27221.0	0.1	0.0	1.77	0.08	0	461538	20860
F9_RAS_3_MP180.p2	26166869.0	273.0	24468238.0	93.51	273.33	30630523.0	30462497.0	30333442.0	258377.0	29069.0	9635.0	0.17	0.0	1.15	0.0	1.88	1189012.0	4.54	27221.0	0.1	0.0	1.77	0.08	0	461538	20860
F9_RAS_3_MP192	21223007.0	274.0	19955992.0	94.03	274.67	25186860.0	25048268.0	24934153.0	220710.0	24595.0	7402.0	0.17	0.0	1.16	0.0	1.89	912522.0	4.3	21750.0	0.1	0.0	1.49	0.08	0	315788	16955
F9_RAS_3_MP192.p2	21223007.0	274.0	19955992.0	94.03	274.67	25186860.0	25048268.0	24934153.0	220710.0	24595.0	7402.0	0.17	0.0	1.16	0.0	1.89	912522.0	4.3	21750.0	0.1	0.0	1.49	0.08	0	315788	16955
F9_RAS_4_MP180	21011879.0	282.0	19662073.0	93.58	281.82	25188597.0	25050083.0	24942740.0	214011.0	23910.0	7936.0	0.17	0.0	1.17	0.0	1.78	902254.0	4.29	18659.0	0.09	0.0	1.96	0.08	0	412074	16819
F9_RAS_4_MP180.p2	21011879.0	282.0	19662073.0	93.58	281.82	25188597.0	25050083.0	24942740.0	214011.0	23910.0	7936.0	0.17	0.0	1.17	0.0	1.78	902254.0	4.29	18659.0	0.09	0.0	1.96	0.08	0	412074	16819
F9_RAS_4_MP192	24667057.0	274.0	23170290.0	93.93	274.2	29319640.0	29156841.0	29022442.0	259204.0	29001.0	8993.0	0.17	0.0	1.16	0.0	1.93	1047333.0	4.25	24222.0	0.1	0.0	1.65	0.07	0	407907	17305
F9_RAS_4_MP192.p2	24667057.0	274.0	23170290.0	93.93	274.2	29319640.0	29156841.0	29022442.0	259204.0	29001.0	8993.0	0.17	0.0	1.16	0.0	1.93	1047333.0	4.25	24222.0	0.1	0.0	1.65	0.07	0	407907	17305
WT_MOCK_1_MP180	26660912.0	270.0	25113595.0	94.2	269.9	31641836.0	31477414.0	31334797.0	270075.0	26830.0	10134.0	0.17	0.0	1.15	0.0	2.06	1229020.0	4.61	23373.0	0.09	0.0	1.03	0.08	0	273668	21256
WT_MOCK_1_MP180.p2	26660912.0	270.0	25113595.0	94.2	269.9	31641836.0	31477414.0	31334797.0	270075.0	26830.0	10134.0	0.17	0.0	1.15	0.0	2.06	1229020.0	4.61	23373.0	0.09	0.0	1.03	0.08	0	273668	21256
WT_MOCK_1_MP192	21807183.0	273.0	20537081.0	94.18	272.87	26469293.0	26333335.0	26203630.0	232228.0	24331.0	9104.0	0.17	0.0	1.17	0.0	2.12	1014176.0	4.65	19643.0	0.09	0.0	1.03	0.05	0	225344	10939
WT_MOCK_1_MP192.p2	21807183.0	273.0	20537081.0	94.18	272.87	26469293.0	26333335.0	26203630.0	232228.0	24331.0	9104.0	0.17	0.0	1.17	0.0	2.12	1014176.0	4.65	19643.0	0.09	0.0	1.03	0.05	0	225344	10939
WT_MOCK_2_MP180	25173789.0	269.0	23690381.0	94.11	269.6	29747706.0	29593557.0	29462045.0	250898.0	25014.0	9749.0	0.19	0.0	1.16	0.0	2.34	1178180.0	4.68	21447.0	0.09	0.0	1.06	0.07	0	266202	17579
WT_MOCK_2_MP180.p2	25173789.0	269.0	23690381.0	94.11	269.6	29747706.0	29593557.0	29462045.0	250898.0	25014.0	9749.0	0.19	0.0	1.16	0.0	2.34	1178180.0	4.68	21447.0	0.09	0.0	1.06	0.07	0	266202	17579
WT_MOCK_2_MP192	24220620.0	271.0	22798275.0	94.13	271.17	29172943.0	29018598.0	28884593.0	252843.0	25592.0	9915.0	0.17	0.0	1.17	0.0	2.22	1140615.0	4.71	21578.0	0.09	0.0	1.02	0.05	0	247995	12157
WT_MOCK_2_MP192.p2	24220620.0	271.0	22798275.0	94.13	271.17	29172943.0	29018598.0	28884593.0	252843.0	25592.0	9915.0	0.17	0.0	1.17	0.0	2.22	1140615.0	4.71	21578.0	0.09	0.0	1.02	0.05	0	247995	12157
